BillboardTitle,BillboardArtist,OriginChart,peakpos_alltime,weeksonchart_alltime,MyPart_id,Song Form,Pre-Chorus Section Lyrics,Tempo,Song Length,Vocal vs. Instrumental Prevalence,First Section Type,Intro Length,"Intro (Instrumental, Vocal)",Verse Count,Pre-Chorus Count,Chorus Count,Vocal Post-Chorus Count,Departure Section,Last Section Type,Outro Length,"Outro (Instrumental, Vocal)",Number of Distinct Sections,Melodic Interval Prevalence,Main Melodic Range (tones),Main Melodic Range,Number of Melodic Themes,Key,"Key (Major, Minor, Major Mode, Minor Mode)",Use of Parallel Mode,%Diatonic Chords,Chord Repetition,Use of Triads,Use of Inverted Chords,Use of 7th Chords,Use of Major 7th Chords,Chord Degree Prevalence,Timbre,Predominantly Acoustic vs Electronic,Prominent Instruments,Song Title Word Count,Song Title Appearances,Person References,Location References,Organization or Brand References,Consumer Goods References,Creative Works Title References,Literal Experiences vs. Abstract,Lyrical Sub Themes defining Lyrical Themes,Lyrical Moods,Use of In-Line Lyric Repetition,Line Repetition,Overall Repetitiveness,Average Word Repetition (Full Song),Common Words Prevalence 1k,Common Words Prevalence 10k,Common Words Prevalence 50k,%Slang Words,%Abbreviations,%Non Dictionary Words,%Profanity Words,Average Consonance Alliteration,Average Assonance Alliteration,Rhyme Density,Percentage of Rhyming Syllables,Average Rhymes per Line,Number Of Rhyme Groups In The Song By ELR,End-of-Line Perfect Rhyme Percentage,End-of-Line Secondary Perfect Rhyme Percentage,End-of-Line Assonance Rhyme Percentage,End-of-Line Consonance Rhyme Percentage,Perfect Rhyme Percentage,Secondary Perfect Rhyme Percentage,Assonance Rhyme Percentage,Consonance Rhyme Percentage,End-of-Line Rhyme Percentage,Mid-Line Rhyme Percentage,Internal Rhyme Percentage,Mid-Word Rhyme Percentage,Lyrical Density,Average Number of Words per Line,Primary Genre,Sub-Genres,Influences,Production Mood,Danceability,Loudness Range
Adore You,Harry Styles,hot-100,6,50,[HarryStyles].AdoreYou,A-PC-B,No Pre-Chorus,98.99944305,3:27,Vocals Prevalence,Intro,0:00,No Intro,2,0,2,0,1,Outro,0:00,No Outro,,,,,,Eb Major,Major,,,,,,,,,Primarily Bright,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",2,9,0.002824859,0.008474576,0.005649718,0,0.002824859,Abstract,"Infatuation, Love",Other,0.018181818,0.289308176,0.239664804,5.57575758,0.590909091,0.721590909,0.789772727,0,0.005434783,0.08423913,0,0.344938114,0.325045788,0.460732984,0.157068063,1.132075472,0.133333333,0.29787234,0,0.042553191,0,0.346153846,0,0.038461538,0,0.903846154,0.133333333,0.033333333,0.302325581,1.68387144,4.8,Pop,"Pop, Rock","R&B Pop, DJ Pop","Happy, Party",0.964075089,4.158128738
All About That Bass,Meghan Trainor,hot-100,1,47,[MeghanTrainor].AllAboutThatBass,A-PC-B,Lyrically Identical,134.3874817,3:07,Vocals Prevalence,Chorus,0:00,No Intro,2,2,3,0,1,Outro,0:17,Instrumental,5,"%P1-%m2, %M2-%m3, %M3-%P5",9.75,Mixed-Horizontal,4,A Major,Major,0,0.776470588,2.833333333,0.505882353,0.047058824,0.329411765,0.105882353,"%I, %II, %IV, %V",Mixed,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",4,5,0.016166282,0.002309469,0.004618938,0.002309469,0.004618938,Abstract,Boasting,"Dramatic, Cynical, Positive",0.027777778,0.195652174,0.262921348,3.990825688,0.309322034,0.720338983,0.983050847,0,0.091954023,0.011494253,0.004597701,2.49608408,1.351416203,0.81504065,0.231707317,2.47826087,0.137931034,0.130434783,0,0,0.043478261,0.292682927,0,0.073170732,0.097560976,0.56097561,0.804597701,0.022988506,0.109375,2.290245135,7.943396226,Pop,Pop,Teen Pop,Party,0.87884748,3.796252251
All The Stars,Kendrick Lamar & SZA,hot-100,7,21,[KendrickLamarAndSza].AllTheStars,A-PC-B,Lyrically Identical,96.79022217,3:52,Vocals Prevalence,Intro,0:00,No Intro,2,3,3,0,1,Chorus,0:00,No Outro,4,"%P1-%m2, %M2-%m3, %M3-%P5",16,Vertical,5,Ab Lydian,Lydian,0,0.767857143,4.48,0.223214286,0.017857143,0.616071429,0.151785714,"%I, %II, %III, %VI, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",3,18,0.006263048,0.002087683,0,0,0.006263048,Both,"Romantic, Egocentric, Empowering, Success, Materialized Dream, Protest, Boasting, Introspection, Lifestyle, Friendship","Cynical, Optimistic, Nostalgic, Happy, Reluctance, Sad, Positive",0,0.164179104,0.345110929,3.151315789,0.508928571,0.821428571,0.9375,0,0.03131524,0.002087683,0.006263048,1.357842639,0.252780322,0.402061856,0.201030928,1.746268657,0.246575342,0,0,0.162790698,0.046511628,0.177419355,0,0.258064516,0.032258065,0.693548387,0.547945205,0.424657534,0.170212766,2.044911202,6.306666667,Hip Hop/Rap,"Pop, Hip Hop/Rap, Rock","Pop, Rock, R&B Pop","Party, Relaxed",0.954858959,4.304960251
amari,J. Cole,hot-100,5,3,[JCole].Amari,ABAB,,66.03095245,3:12,Vocals Prevalence,Intro,0:12,No Intro,2,0,2,,0,Outro,0:12,No Outro,3,,,,,B Minor,Minor,1,0.779069767,3.583333333,0.5,0.186046512,0.372093023,0.081395349,"%I, %IV",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",1,0,,,,,,,"Breakup, Empowering, Lifestyle, Yearning for Social company, Drugs or Alcohol Use or Alcohol Use, Family","Dramatic, Cynical, Reluctance, Detached",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hip Hop/Rap,Hip Hop/Rap,Alternative Hip Hop,"Happy, Party, Relaxed, Melancholic",0.694107175,7.036399841
Animals,Maroon 5,hot-100,3,33,[Maroon5].Animals,A-PC-B,Lyrically Identical,94.99710846,3:51,Vocals Prevalence,Intro,0:39,Instrumental,2,2,4,0,1,Outro,0:39,Vocal,6,%P1-%m2,0.5,Horizontal,1,E Minor,Minor,0,0.875,4.705882353,0.3125,0.05,0.5,0.375,"%I, %VI, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",1,30,0.02244898,0.008163265,0,0.002040816,0,Abstract,"Breakup, Sex, Holiday or Festivity, Drugs or Alcohol Use or Alcohol Use","Reluctance, Positive, Detached",0.150684932,0.5,0.235316124,4.961904762,0.56928839,0.891385768,0.985018727,0.001919386,0.003838772,0.019193858,0,1.12747193,0.735886209,0.485148515,0.265676568,2.236111111,0.062893082,0.379310345,0,0.586206897,0,0.356321839,0.011494253,0.551724138,0.011494253,0.333333333,0.383647799,0.081761006,0.12972973,1.859803362,5.841463415,Pop,"Pop, Rock",R&B Pop,"Happy, Party",0.987995028,9.534212112
Anyone,Justin Bieber,hot-100,6,17,[JustinBieber].Anyone,AABA,No Pre-Chorus,115.8498993,3:10,Vocals Prevalence,Intro,0:16,Instrumental,2,0,2,0,1,Chorus,0:00,No Outro,6,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",11.5,Mixed-Vertical,2,D Major,Major,0,0.787878788,3.666666667,0.515151515,0.101010101,0.383838384,0.151515152,"%I, %IV, %V, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",1,11,0.043076923,0,0,0.009230769,0,Abstract,"Infatuation, Love, Romantic, Egocentric, Materialized Dream, Friendship","Optimistic, Nostalgic, Happy, Reluctance, Positive",0.010752688,0.172043011,0.323656578,3.872093023,0.69047619,0.81547619,0.880952381,0,0.09009009,0.045045045,0,1.063342277,0.490532236,0.308641975,0.148148148,1.548387097,0.255319149,0.153846154,0,0.307692308,0.384615385,0.227272727,0,0.181818182,0.318181818,0.590909091,0.446808511,0,0.384615385,1.262281659,6.736842105,Pop,"Pop, Rock",Teen Pop,Relaxed,0.445949018,14.14449692
Astronaut In The Ocean,Masked Wolf,hot-100,6,22,[MaskedWolf].AstronautInTheOcean,ABAB,No Pre-Chorus,75.30028535,2:12,Vocals Prevalence,Intro,0:00,No Intro,2,0,2,0,0,Chorus,0:27,No Outro,,,,,,E Aeolian,Aeolian,,,,,,,,,Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",4,4,0.038461538,0.015837104,0.00678733,0.002262443,0.009049774,Both,Boasting,"Dramatic, Cynical, Reluctance, Anger, Positive, Bitter",0.052287582,0.215686274,0.422498927,2.55367232,0.546938776,0.787755102,0.975510204,0.006637168,0.028761062,0.030973451,0.011061947,1.351859723,0.556692531,0.303773585,0.213207547,2.215686275,0.188679245,0.148148148,0,0.777777778,0,0.340909091,0.022727273,0.431818182,0.022727273,0.306818182,0.669811321,0.047169811,0.29375,2.968684321,7.280701754,Hip Hop/Rap,Hip Hop/Rap,Alternative Hip Hop,"Party, Relaxed",0.997926772,10.31276321
ATM,J. Cole,hot-100,6,5,[JCole].Atm,ABABC,No Pre-Chorus,81.72211455,3:36,Vocals Prevalence,Intro,0:17,Vocal,3,0,3,0,1,Outro,0:17,No Outro,,,,,,C# Blues,Blues,,,,,,,,,Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",1,0,0.026359143,0,0.004942339,0.001647446,0.001647446,Both,"Romantic, Egocentric, Sex, Lifestyle, Religion or Spirituality","Dramatic, Cynical, Happy, Reluctance, Anger, Sad, Bitter",0.036144578,0.257028113,0.330166271,3.35911602,0.281355932,0.813559322,0.972881356,0.001644737,0.018092105,0.014802632,0.019736842,2.220779029,1.89629329,1.540114613,0.411174785,3.457831325,0.051851852,0.31147541,0,0.163934426,0.131147541,0.341176471,0.011764706,0.282352941,0.152941176,0.717647059,0.511111111,0.02962963,0.108695652,2.160092807,6.308510638,Hip Hop/Rap,"Pop, Hip Hop/Rap","Alternative Hip Hop, Trap","Party, Relaxed, Melancholic",0.142502606,11.80169106
Attention,Charlie Puth,hot-100,5,40,[CharliePuth].Attention,A-PC-B,Lyrically Identical,99.8481369,3:28,Vocals Prevalence,Intro,0:00,No Intro,2,2,2,0,1,Outro,0:00,Vocal,6,"%P1-%m2, %M2-%m3, %M3-%P5",4.5,Horizontal,2,Gb Major,Major,1,0.857142857,4.433333333,0.353383459,0.082706767,0.511278195,0.15037594,"%I, %III, %IV, %V, %VI",Mixed,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",1,7,0.014112903,0.008064516,0.006048387,0,0.002016129,Abstract,"Infatuation, Love, Egocentric, Hedonism, Success, Holiday or Festivity, Introspection, Yearning for Social company, Friendship","Cynical, Nostalgic, Happy, Reluctance, Positive, Bitter",0,0.296296296,0.242048099,5.164948454,0.563063063,0.846846847,0.959459459,0,0.109780439,0.045908184,0,0.956377252,0.411352983,0.539449541,0.185321101,1.87037037,0.25,0.105263158,0,0.157894737,0,0.227272727,0,0.272727273,0.090909091,0.431818182,0.736111111,0.166666667,0.246268657,2.160760055,7,Pop,Pop,"Alternative Pop, Teen Pop","Happy, Relaxed, Melancholic",0.341089875,13.07963753
Baby Pluto,Lil Uzi Vert,hot-100,6,4,[LilUziVert].BabyPluto,ABAB,No Pre-Chorus,80.8903885,3:30,Vocals Prevalence,Intro,0:00,No Intro,3,0,3,0,1,Outro,0:00,No Outro,2,"%P1-%m2, %M2-%m3, %M3-%P5",9.5,Mixed-Horizontal,3,Bb Aeolian,Aeolian,0,0.9,4.482758621,0.492307692,0.123076923,0.330769231,0.1,"%I, %V, %VI, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",2,0,0.043907794,0.014270033,0.030735456,0.016465423,0.003293085,Both,"Breakup, Sex, Holiday or Festivity, Lifestyle, Friendship, Drugs or Alcohol Use or Alcohol Use, Family","Cynical, Detached",0.041666667,0.308510638,0.370752028,3.377289377,0.486652977,0.73100616,0.924024641,0.005422993,0.036876356,0.036876356,0.035791757,1.714942177,0.790064146,0.513384321,0.211281071,2.35106383,0.090909091,0.207317073,0,0.317073171,0,0.327586207,0,0.310344828,0.034482759,0.471264368,0.468899522,0.114832536,0.34421365,4.377967711,8.38,Hip Hop/Rap,Hip Hop/Rap,Trap,Party,0.880714476,5.180369377
Bad And Boujee,Migos Featuring Lil Uzi Vert,hot-100,1,36,[MigosFeaturingLilUziVert].BadAndBoujee,ABABC,No Pre-Chorus,63.4993477,5:43,Vocals Prevalence,Intro,0:00,No Intro,3,0,4,0,1,Outro,0:16,Instrumental,7,"%P1-%m2, %M2-%m3, %M3-%P5",7,Horizontal,8,D# Phrygian,Phrygian,0,0.785714286,4,0.3,0.057142857,0.55,0.242857143,"%I, %II",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",3,0,0.110114192,0.009787928,0.04730832,0.016313214,0.004078303,Abstract,"Breakup, Sex, Boasting, Lifestyle, Drugs or Alcohol Use or Alcohol Use, Family","Dramatic, Cynical, Detached",0.05907173,0.208067941,0.345512919,3.581661891,0.362831858,0.660766962,0.884955752,0.0032,0.0584,0.0592,0.04,0.946233397,0.436811979,0.305766313,0.179059181,1.503184713,0.183168317,0.179245283,0.028301887,0.226415094,0,0.248554913,0.023121387,0.219653179,0.121387283,0.612716763,0.420792079,0.148514851,0.264797508,3.732234563,6.375757576,Hip Hop/Rap,Hip Hop/Rap,Trap,Party,0.999917626,1.762331963
Bad At Love,Halsey,hot-100,5,33,[Halsey].BadAtLove,A-PC-B,Lyrically Identical,118.2724304,3:01,Vocals Prevalence,Intro,0:00,No Intro,2,2,3,0,0,Outro,0:00,No Outro,2,"%P1-%m2, %M2-%m3, %M3-%P5",11.5,Mixed-Vertical,4,C Major,Major,1,0.918918919,7.928571429,0.531531532,0.045045045,0.288288288,0.27027027,"%I, %IV, %V",Primarily Bright,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, String Section",3,12,0.027149321,0.013574661,0,0.002262443,0.002262443,Both,"Romantic, Introspection, Yearning for Social company, Friendship","Cynical, Optimistic, Nostalgic, Reluctance, Positive",0.032258065,0.38172043,0.331856447,3.37037037,0.584677419,0.717741935,0.915322581,0,0.037362637,0.07032967,0,0.614431202,0.787220193,0.446728972,0.218691589,1.887096774,0.160714286,0.294117647,0,0.235294118,0.176470588,0.279411765,0,0.308823529,0.102941176,0.5,0.410714286,0.0625,0.235294118,2.48470948,5.875,Pop,"Dance/Club/Electronic, Pop",R&B Pop,"Happy, Party, Relaxed, Melancholic",0.996920645,6.320011616
Bad Blood,Taylor Swift Featuring Kendrick Lamar,hot-100,1,25,[TaylorSwiftFeaturingKendrickLamar].BadBlood,A-PC-B,Lyrically Differentiated,84.79148865,3:31,Vocals Prevalence,Verse,0:00,No Intro,4,2,4,2,1,Outro,0:00,No Outro,5,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",5.5,Horizontal,2,G Major,Major,0,0.909090909,6.111111111,0.509090909,0.072727273,0.327272727,0.081818182,"%I, %IV, %V, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",2,14,0.05856833,0.002169197,0.010845987,0,0.004338395,Abstract,"Infatuation, Romantic, Egocentric, Lifestyle","Cynical, Happy, Reluctance, Anger, Sad, Bitter",0,0.213541667,0.341463415,3.251748252,0.704980843,0.869731801,0.91954023,0,0.012903226,0.032258065,0,0.621445682,0.291052532,0.224416517,0.13464991,1.171875,0.205882353,0.032258065,0,0.709677419,0,0.070175439,0,0.736842105,0.035087719,0.543859649,0.544117647,0.073529412,0.324324324,1.898142594,5.329411765,Pop,Pop,Teen Pop,"Party, Relaxed, Melancholic",0.933262408,8.475048065
